Code_Canton;Code_Commune;Nom_Canton;Nom_commune;Politique ;;Maire;Téléphone;Adresse Mairie;Nom de la commune;Télécopie;Mail
3720;37147;STE MAURE DE TOURAINE;MARCILLY SUR VIENNE;DVG;;Thierry BRUNET;02.47.65.20.43;16 rue principale 37800 MARCILLY SUR VIENNE;Marcilly sur Vienne;02.47.65.20.43;mairiedemarcilly@wanadoo.fr
3719;37148;RICHELIEU;MARIGNY MARMANDE;;;Christian PINEAU;02.47.58.31.11;20 rue Grande rue 37120 MARIGNY MARMANDE;Marigny Marmande;02.47.58.35.28;mairie.marigny-marmande@wanadoo.fr
3717;37149;NEUVY LE ROI;MARRAY;;;Patrick BOIVIN;02.47.56.30.51;1 route de la Ferrière 37370 MARRAY;Marray;02.47.56.36.14;mairie.marray@wanadoo.fr
3711;37150;LANGEAIS;mazières de touraine;;;Thierry ELOY;02.47.96.41.54;37130 MAZIERES DE TOURAINE;Mazières de Touraine;02.47.96.59.12;mazieresdetouraine@wanadoo.fr
3736;37151;LUYNES;LA MEMBROLLE SUR CHOISILLE;;;Sébastien MARAIS;02.47.41.21.28;Place de l'Europe - BP 13 - 37390 LA MEMBROLLE /CHOISILLE ;Membrolle sur Choisille (La);02.47.54.83.96;mairie@ville-la-membrolle37.fr
3736;37152;LUYNES;METTRAY;;;Philippe CLEMOT;02.47.41.22.29;3 rue du dolmen 37390 METTRAY;Mettray;02.47.41.13.21;administration@ville-mettray.fr
3724;37153;VOUVRAY;MONNAIE;;;Olivier VIÉMONT;02.47.56.10.20;Place Charles de Gaulle 37380 MONNAIE;Monnaie;02.47.56.49.90;mairie-de-monnaie@wanadoo.fr
3714;37154;MONTBAZON;MONTBAZON;DVD;;Bernard REVECHE;02.47.26.01.30;place André Delaunay 37250 MONTBAZON;Montbazon;02.47.73.13.92;mairie.montbazon@wanadoo.fr
3706;37155;CHATEAU RENAULT;MONTHODON;EELV;;Olivier PODEVIN;02.47.29.56.05;1 rue du 8 Mai 1945 - 37110 MONTHODON;Monthodon;02.47.29.51.70;mairie.monthodon@wanadoo.fr
3737;37156;MONTLOUIS SUR LOIRE;MONTLOUIS SUR LOIRE;PS;;Vincent MORETTE;02.47.45.85.85;place François Mitterrand 37270 MONTLOUIS SUR LOIRE;Montlouis sur Loire;02.47.45.15.74;mairie@ville-montlouis-loire.fr
3715;37157;montrésor;montrésor;DVD;;Christophe UNRUG;02.47.91.43.00;23 rue Grande Rue 37460 MONTRESOR;Montrésor;02.47.92.71.11;mairie-montresor@wanadoo.fr
3701;37158;AMBOISE;MONTREUIL EN TOURAINE;;;Jean-Luc PADIOLLEAU;02.47.30.15.14;37530 MONTREUIL EN TOURAINE;Montreuil en Touraine;02.47.30.03.12;mairie@montreuil-touraine.fr
3714;37159;MONTBAZON;MONTS;DVG;;Valérie GUILLERMIC;02.47.34.11.80;rue Maurice Ravel 37260 MONTS;Monts;02.47.73.05.42;mairie@monts.org
3706;37160;CHATEAU RENAULT;MORAND;DVD;;Joël DENIAU;02.47.29.69.12;2 rue de la Mairie 37110 MORAND;Morand;02.47.29.61.78;mairiedemorand@wanadoo.fr
3701;37161;AMBOISE;MOSNES;;;Christophe VILLEMAIN;02.47.57.22.13;9 rue du Général de Gaulle 37530 MOSNES;Mosnes;02.47.57.61.19;mairie.mosnes@wanadoo.fr
3712;37162;LIGUEIL;MOUZAY;;;Marie RONDWASSER;02.47.59.15.43;1 Place de la Mairie 37600 MOUZAY;Mouzay;02.47.59.15.43;mairie.mouzay@wanadoo.fr
3701;37163;AMBOISE;nazelles négron;;;Richard CHATELLIER;02.47.23.71.71;37530 NAZELLES NEGRON;Nazelles Négron;02.47.23.25.48;mairie.nazelles-negron@wanadoo.fr
3720;37165;STE MAURE DE TOURAINE;NEUIL;DVD;;Natalie SENNEGON;02.47.65.82.66;20 rue de l'église 37190 NEUIL;Neuil;02.47.73.51.33;mairie-de-neuil@orange.fr
3724;37166;VOUVRAY;neuillé le lierre;;;Damien FORATIER;02.47.52.95.17;2 rue de la République 37380 NEUILLE LE LIERRE;Neuillé Le Lierre;02.47.52.29.44;mairie.neuillelelierre@wanadoo.fr
3716;37167;neuillé pont pierre;neuillé pont pierre;DVD;;Michel JOLLIVET;02.47.24.54.84;2 place du 11 novembre 37360 NEUILLE PONT PIERRE;Neuillé Pont Pierre;02.47.24.38.78;secretariat.npp@wanadoo.fr
3709;37168;DESCARTES;NEUILLY LE BRIGNON;;;Dominique COINTRE;02.47.59.66.02;37160 NEUILLY LE BRIGNON;Neuilly Le Brignon;02.47.92.33.85;mairie.neuilly.le.brignon@wanadoo.fr
3706;37169;CHATEAU RENAULT;NEUVILLE SUR BRENNE;;;Gino GOMMÉ;02.47.29.52.13;8 rue du 8 mai 1945 - 37110 NEUVILLE SUR BRENNE;Neuville sur Brenne;02.47.56.88.19;communedeneuvillesurbrenne@wanadoo.fr 
3717;37170;NEUVY LE ROI;NEUVY LE ROI;LR;;Patrick CINTRAT;02.47.29.71.71;37370 NEUVY LE ROI;Neuvy Le Roi;02.47.24.84.91;mairie.neuvy-le-roi@wanadoo.fr
3724;37171;VOUVRAY;NOIZAY;;;Jean-Pierre VINCENDEAU;02.47.52.11.06;4 place Léon Gambetta 37210 NOIZAY;Noizay;02.47.52.08.73;contact@mairiedenoizay.fr
3724;37172;VOUVRAY;notre-dame d'oé;PS;;Jean-Luc GALLIOT;02.47.41.30.08;37390 NOTRE DAME D OE;Notre Dame d'Oé;02.47.49.22.00;mairie@ndoe.fr
3715;37173;MONTRESOR;NOUANS LES FONTAINES;DVG;;Eric MOREAU;02.47.92.62.09;place du 8 Mai 37460 NOUANS LES FONTAINES;Nouans Les Fontaines;02.47.92.70.93;mairie.nouans.fontaines@wanadoo.fr
3720;37174;STE MAURE DE TOURAINE;nouâtre;DVG;;Pierre-Marie DANQUIGNY;02.47.65.20.15;place du 8 mai 1945 - 37800 NOUATRE;Nouâtre;02.47.65.28.24;mairie.nouatre@wanadoo.fr
3706;37175;CHATEAU RENAULT;NOUZILLY;;;Joël BESNARD;02.47.56.12.21;place Emile Cholet 37380 NOUZILLY;Nouzilly;02.47.56.40.47;mairie.nouzilly@wanadoo.fr
3720;37176;STE MAURE DE TOURAINE;NOYANT DE TOURAINE;DVG;;Yolande BILLON;02.47.65.82.03;1 place de la Mairie 37800 NOYANT DE TOURAINE;Noyant de Touraine;02.47.65.83.13;mairie@noyant-de-touraine.fr
3715;37177;MONTRESOR;ORBIGNY;DVG;;Jacky CHARBONNIER;02.47.94.23.18;8 rue Jeanne d'Arc 37460 ORBIGNY;Orbigny;02.47.94.20.55;mairie.orbigny@wanadoo.fr
3710;37178;L'ILE BOUCHARD;PANZOULT;DVD;;Isabelle PAIN;09.65.30.25.44;place de la mairie 37220 PANZOULT;Panzoult;02.47.58.53.08;mairie.panzoult@wanadoo.fr
3724;37179;VOUVRAY;parçay-meslay;;;Bruno FENET;02.47.29.15.15;58 rue de la Mairie 37210 PARCAY MESLAY;Parçay Meslay;02.47.29.01.41;mairie@parcay-meslay.com
3710;37180;L'ILE BOUCHARD;Parçay sur Vienne;DVG;;Mme Dominique JOUANNEAU;02.47.58.54.57;20 rue du 8 Mai 1945 - 37220 PARCAY SUR VIENNE;Parçay sur Vienne;02.47.58.60.96;mairiedeparcaysurvienne@wanadoo.fr
3708;37181;LE GRAND PRESSIGNY;PAULMY;;;Dominique FRELON;02.47.59.66.64;1 place de la mairie 37350 PAULMY;Paulmy;02.47.59.62 40;paulmy.mairie@wanadoo.fr
3716;37182;NEUILLE PONT PIERRE;PERNAY;;;Jean-Pierre PENINON;02.47.52.43.83;rue de la Mairie 37230 PERNAY;Pernay;02.47.52.47.87;mairie.pernay@neuf.fr
3713;37183;LOCHES;PERRUSSON;DVD;;Bernard GAULTIER;02.47.59.03.92;1 place de la Mairie 37600 PERRUSSON;Perrusson;02.47.91.61.83;perrusson.37@wanadoo.fr
3708;37184;LE GRAND PRESSIGNY;LE PETIT PRESSIGNY;;;Daniel DOUADY;02.47.94.93.59;2 chemin des Bordes 37350 LE PETIT PRESSIGNY;Petit Pressigny (Le);02.47.91.05.94;mairie.le.petit.pressigny@wanadoo.fr
3701;37185;AMBOISE;pocé sur cisse;;;Claude COURGEAU;02.47.57.18.15;37530 POCE SUR CISSE;Pocé sur Cisse;02.47.57.02.13;mairiedepoce@wanadoo.fr
3714;37186;MONTBAZON;PONT DE RUAN;DVD;;Michelle DUVAULT;02.47.26.81.30;37260 PONT DE RUAN;Pont de Ruan;02.47.73.21.72;ville.pont.de.ruan@wanadoo.fr
3720;37187;STE MAURE DE TOURAINE;PORTS SUR VIENNE;DVG;;Daniel POUJAUD;02.47.65.02.62;place de la mairie 37800 PORTS SUR VIENNE;Ports sur Vienne;02.47.65.09.29;mairie-de-ports-sur-vienne@wanadoo.fr
3720;37188;STE MAURE DE TOURAINE;POUZAY;DVD;;Jean SAVOIE;02.47.65.21.93;23 rue des Ecoles 37800 POUZAY;Pouzay;02.47.65.32.67;pouzay@wanadoo.fr
3718;37189;PREUILLY SUR CLAISE;PREUILLY SUR CLAISE;DVD;;Gilles BERTUCELLI;02.47.94.50.04;place de l'Hôtel de Ville BP 13 - 37290 PREUILLY SUR CLAISE ;Preuilly sur Claise;02.47.94.63.26;mairie-preuilly@wanadoo.fr
3720;37190;STE MAURE DE TOURAINE;PUSSIGNY;;;Mme Dominique BRUNET;02.47.65.01.02;5 rue de la mairie 37800 PUSSIGNY;Pussigny;02.47.65.09.82;mairie.pussigny@wanadoo.fr
3719;37191;RICHELIEU;RAZINES;;;Daniel DUPUY;02.47.95.60.60;10 place de la mairie 37120 RAZINES;Razines;;mairie-razines@wanadoo.fr
3713;37192;LOCHES;REIGNAC SUR INDRE;DVD;;Loïc BABARY;02.47.94.10.20;37310 REIGNAC SUR INDRE;Reignac sur Indre;02.47.94.17.94;mairie.reignac37@wanadoo.fr
3704;37193;BOURGUEIL;restigné;;;Christine HASCOET;02.47.97.32.08;place de l'Eglise 37140 RESTIGNE;Restigné;02.47.97.47.02;mairie.restigne@cegetel.net
3724;37194;VOUVRAY;REUGNY;;;Axelle TREHIN;02.47.52.94.32;10 rue Nationale 37380 REUGNY;Reugny;02.47.52.25.94;mairie-reugny@wanadoo.fr
3731;37195;BALLAN MIRE;LA RICHE;PS;;Wilfried SCHWARTZ;02.47.36.24.24;place du Maréchal Leclerc BP 102 -37521 LA RICHE CEDEX;Riche (La);02.47.38.11.52;la.mairie@ville-lariche.fr
3719;37196;RICHELIEU;RICHELIEU;;;Hervé NOVELLI;02.47.58.10.13;1 place du Marché 37120 RICHELIEU;Richelieu;02.47.58.16.42;commune-de-richelieu@wanadoo.fr
3702;37197;AZAY LE RIDEAU;rigny ussé;DVD;;Colette AZE;02.47.95.55.85;51 rue principale 37420 RIGNY USSE;Rigny Ussé;02.47.95.45.33;rigny-usse-mairie@wanadoo.fr
3705;37198;CHATEAU LA VALLIERE;rillé;;;Christian SIMONOT;02.47.24.64.68;6  Grande Rue 37340 RILLE;Rillé;02.47.24.64.68;mairie.rille@orange.fr
3710;37199;L'ILE BOUCHARD;RILLY SUR VIENNE;;;Jean-Louis BASSEREAU;02.47.58.32.09;1 place de la mairie 37220 RILLY SUR VIENNE;Rilly sur Vienne;02.47.58.70.04;mairierillyvienne@wanadoo.fr
3702;37200;AZAY LE RIDEAU;RIVARENNES;DVG;;Agnès BUREAU;02.47.95.51.43;37190 RIVARENNES;Rivarennes;02.47.95.51.52;mairie.rivarennes@wanadoo.fr
3707;37201;CHINON;rivière;DVG;;Martine LUNETEAU;02.47.93.07.53;14 rue des lavandières 37500 RIVIERE;Rivière;02.47.93.37.04;mairiederiviere@wanadoo.fr
3707;37202;CHINON;LA ROCHE CLERMAULT;;;Jacky MANCEAU;02.47.95.90.10;13 route du Coteau 37500 LA ROCHE CLERMAULT;Roche Clermault (La);02.47.95.85.59;mairie.larocheclermault@wanadoo.fr
3724;37203;VOUVRAY;ROCHECORBON;DVD;;Bernard PLAT;02.47.52.50.20;37210 ROCHECORBON;Rochecorbon;02.47.52.81.18;contact@mairie-rochecorbon.fr
3716;37204;NEUILLE PONT PIERRE;ROUZIERS DE TOURAINE;DVG;;John-James DELIGNY;02.47.56.60.13;5 rue du 11 novembre 37360 ROUZIERS DE TOURAINE;Rouziers de Touraine;02.47.56.56.40;secretariat.RDT@wanadoo.fr
3702;37205;AZAY LE RIDEAU;saché;DVD;;Olivier BOUISSOU;02.47.26.86.65;Place Alexander Calder 37190 SACHE;Saché;02.47.65.76.83;mairie.sache@wanadoo.fr
3716;37206;NEUILLE PONT PIERRE;SAINT ANTOINE DU ROCHER;;;André MEULOT;02.47.56.65.04;4 rue des écoles 37360 ST ANTOINE DU ROCHER;Saint Antoine du Rocher;02.47.56.51.08;secretariat.SAR@wanadoo.fr
3717;37207;NEUVY LE ROI;SAINT AUBIN LE DEPEINT;DVD;;Benoit DURAND;02.47.29.25.07;21 rue Principale 37370 ST AUBIN LE DEPEINT;Saint Aubin le Depeint;02.47.29.25.07;mairie.staubinledepeint@wanadoo.fr
3732;37208;SAINT AVERTIN;SAINT AVERTIN;LR;;Jean-Gérard PAUMIER;02.47.48.48.48;21 rue de Rochepinard BP 128 - 37550 ST AVERTIN ;Saint Avertin;02.47.27.10.33;sonia.maingault@ville-saint-avertin.fr
3713;37209;LOCHES;SAINT BAULD;DVD;;Jacques DELWARDE;02.47.92.87.00;2 rue Principale 37310 ST BAULD;Saint Bauld;02.47.92.87.00;mairiestbauld@wanadoo.fr
3734;37211;CHAMBRAY LES TOURS;SAINT BRANCHS;DVG;;Daniel BALANGER;02.47.26.30.15;place du 11 novembre BP 08 - 37320 ST BRANCHS ;Saint Branchs;02.47.26.33.53;mairie.saintbranchs@wanadoo.fr
3720;37212;STE MAURE DE TOURAINE;SAINTE CATHERINE DE FIERBOIS;DVG;;Vincent POPELIER;02.47.65.43.46;54 rue Boucicault 37800 STE CATHERINE DE FIERBOIS;Sainte Catherine de Fierbois;02.47.65.69.08;saintecatherinedefierbois.secretariat@wanadoo.fr
3717;37213;NEUVY LE ROI;SAINT CHRISTOPHE SUR LE NAIS;DVD;;Catherine LEMAIRE;02.47.29.24.19;32 rue du Val Joyeux 37370 ST CHRISTOPHE SUR LE NAIS;Saint Christophe sur le Nais;02.47.29.35.76;mairie.stchristophe@wanadoo.fr
3729;37214;SAINT CYR SUR LOIRE;SAINT CYR SUR LOIRE;LR;;Philippe BRIAND;02.47.42.80.00;parc de la Perraudière BP 139 -  37541 ST CYR SUR LOIRE  CX;Saint Cyr sur Loire;02.47.42.80.94;info@saint-cyr-sur-loire.com
3720;37216;STE MAURE DE TOURAINE;SAINT EPAIN;DVD;;Serge LECOMTE;02.47.65.80.21;27 rue Principale 37800 ST EPAIN;Saint Epain;02.47.65.80.42;mairie.saint-epain@wanadoo.fr
3736;37217;LUYNES;SAINT ETIENNE DE CHIGNY;;;Patrick CHALON;02.47.55.52.15;2 route de la Chappe 37230 ST ETIENNE DE CHIGNY;Saint Etienne de Chigny;02.47.55.59.19;dgs.mairiesedc@orange.fr
3708;37218;LE GRAND PRESSIGNY;SAINT FLOVIER;;;Francis BAISSON;02.47.94.72.24;2 place du 8 mai 37600 ST FLOVIER;Saint Flovier;02.47.94.86.00;mairie.st.flovier@wanadoo.fr
3731;37219;BALLAN MIRE;SAINT GENOUPH;;;Christian AVENET;02.47.45.51.14;23 rue du bourg 37510 ST GENOUPH;Saint Genouph;02.47.45.52.76;mairie-st-genouph@orange.fr
3707;37220;CHINON;SAINT GERMAIN SUR VIENNE;DVG;;Jean ALBERT;02.47.95.96.46;33 route de la Chaussée 37500 ST GERMAIN SUR VIENNE;Saint Germain sur Vienne;02.47.95.87.29;stgermain.mairie@wanadoo.fr
3713;37221;LOCHES;SAINT HIPPOLYTE;DVD;;Patrick PASQUIER;02.47.94.71.40;37600 ST HIPPOLYTE;Saint Hippolyte;02.47.94.82.47;mairiede-sthippolyte@wanadoo.fr
3713;37222;LOCHES;SAINT JEAN SAINT GERMAIN;DVD;;Pierre BRODNY;02.47.94.70.05;37600 ST JEAN ST GERMAIN;Saint Jean Saint Germain;02.47.94.70.05;mairie.stjeanstgermain@wanadoo.fr
3705;37223;CHATEAU LA VALLIERE;SAINT LAURENT DE LIN;;;Jean-Paul SORIN;02.47.24.05.07;rue de la Perrée 37330 ST LAURENT DE LIN;Saint Laurent de Lin;02.47.24.26.77;mairie.saintlaurentdelin@wanadoo.fr
3706;37224;CHATEAU RENAULT;SAINT LAURENT EN GATINES;DVD;;Isabelle SENECHAL;02.47.29.68.12;avenue du 11 Novembre 37380 ST LAURENT EN GATINES;Saint Laurent en Gatines;02.47.29.83.95;mairie.st.laurent.en.gatines@wanadoo.fr
3703;37225;BLERE;SAINT MARTIN LE BEAU;DVD;;Angélique DELAHAYE;02.47.50.67.26;place Marcel Habert 37270 ST MARTIN LE BEAU;Saint Martin Le Beau;02.47.50.27.69;sanctus.martinus@wanadoo.fr
3720;37226;SAINTE MAURE DE TOURAINE;SAINTE MAURE DE TOURAINE;DVD;;Michel CHAMPIGNY;02.47.65.40.12;place Maréchal Leclerc 37800 STE MAURE DE TOURAINE;Sainte Maure de Touraine;02.47.65.65.76;mairie@sainte-maure-de-touraine.fr
3711;37227;LANGEAIS;SAINT MICHEL SUR LOIRE;;;Dominique LOGEAY;02.47.96.83.06;37130 ST MICHEL SUR LOIRE;Saint Michel sur Loire;02.47.96.46.78;mairiesaintmichelsurloire@wanadoo.fr
3704;37228;BOURGUEIL;SAINT NICOLAS DE BOURGUEIL;;;Christel COUSSEAU;02.47.97.75.16; 37140 ST NICOLAS DE BOURGUEIL;Saint Nicolas de Bourgueil;02.47.97.36.87;mairiedesaintnicolasdebourgueil@wanadoo.fr
3706;37229;CHATEAU RENAULT;SAINT NICOLAS DES MOTETS;DVD;;Daniel CHOISIS;02.47.29.65.20;8 rue de Touraine 37110 ST NICOLAS DES MOTETS;Saint Nicolas des Motets;02.47.56.98.77;mairie-saintnicolasdesmotets@wanadoo.fr
3701;37230;AMBOISE;SAINT OUEN LES VIGNES;;;Marie-Joëlle ADRAST;02.47.30.18.87;4 place de l'église 37530 ST OUEN LES VIGNES;Saint Ouen les Vignes;02.47.30.02.37;mairie-st-ouen-les-vignes@wanadoo.fr
3717;37231;NEUVY LE ROI;SAINT PATERNE RACAN;DVD;;Jean-Pierre POUPEE;02.47.29.20.03;37370 ST PATERNE RACAN;Saint Paterne Racan;02.47.29.30.64;mairie.spr@orange.fr
3711;37232;LANGEAIS;SAINT PATRICE;;;François AUGÉ;02.47.96.98.15;37130 ST PATRICE;Saint Patrice;02.47.96.93.26;mairie.stpatrice@wanadoo.fr
3730;37233;SAINT PIERRE DES CORPS;SAINT PIERRE DES CORPS;FG;;Marie-France BEAUFILS;02.47.63.43.43;34 Avenue de la République 37703 ST PIERRE DES CORPS;Saint Pierre des Corps;02.47.63.43.00;mairie-spdc@wanadoo.fr
3713;37234;LOCHES;SAINT QUENTIN SUR INDROIS;DVD;;Cécile DERUYVER-AVERLAND;02.47.92.51.86;Le Bourg 37310 ST QUENTIN SUR INDROIS;Saint Quentin sur Indrois;02.47.92.51.86;mairie.stquentinsurindrois@wanadoo.fr
3701;37236;AMBOISE;saint règle;DVD;;Christine FAUQUET;02.47.57.41.21;2 place Saint-Louis 37530 ST REGLE;Saint Règle;02.47.57.41.21;mairie.saintregle@wanadoo.fr
3716;37237;NEUILLE PONT PIERRE;SAINT ROCH;;;Alain ANCEAU;02.47.56.74.67;1 rue Principale 37390 ST ROCH;Saint Roch;02.47.56.76.50;mairie.saintroch37@orange.fr
3712;37238;LIGUEIL;SAINT SENOCH;DVD;;Patrick LESPAGNOL;02.47.59.11.17;4 place de la mairie 37600 ST SENOCH;Saint Senoch;02.47.92.38.87;mairiedesaintsenoch@rlan.eu
3706;37240;CHATEAU RENAULT;SAUNAY;DVD;;Pierre DATTÉE;02.47.29.53.21;37110 SAUNAY;Saunay;02.47.56.96.99;mairie.saunay@wanadoo.fr
3705;37241;CHATEAU LA VALLIERE;savigné sur lathan;;;Solange CRESSON;02.47.24.22.33;place Jacques du Bellay 37340 SAVIGNE SUR LATHAN;Savigné sur Lathan;02.47.24.29.02;mairie-de-savigne@wanadoo.fr
3731;37243;BALLAN MIRE;savonnières;;;Bernard LORIDO;02.47.43.53.63;rue Principale BP 11 - 37510 SAVONNIERES ;Savonnières;02.47.43.53.64;mairie@savonnieres.fr
3710;37244;L'ILE BOUCHARD;SAZILLY;DVG;;Max DELALEU;02.47.58.55.52;16 route de Chinon 37220 SAZILLY;Sazilly;02.47.58.68.17;mairie.sazilly@orange.fr
3716;37245;NEUILLE PONT PIERRE;semblançay;DVD;;Antoine TRYSTRAM;02.47.29.86.86;7 place Jacques De Beaune 37360 SEMBLANCAY;Semblançay;02.47.56.55.76;secretariat.sblc@wanadoo.fr
3713;37246;LOCHES;sennevières;DVD;;Caroline KRIER;02.47.94.70.88;37600 SENNEVIERES;Sennevières;02.47.94.71.15;sennevieres@orange.fr
3709;37247;DESCARTES;SEPMES;;;Régine REZEAU;02.47.65.44.66;Place de l'Eglise 37800 SEPMES;Sepmes;02.47.65.59.14;mairie.sepmes@wanadoo.fr
3707;37248;CHINON;SEUILLY;DVG;;Jacques AUPIC;02.47.95.90.35;37500 SEUILLY;Seuilly;02.47.95.85.55;mairie.seuilly@orange.fr
3716;37249;NEUILLE PONT PIERRE;SONZAY;;;Jean-Pierre VERNEAU;02.47.24.70.19;2 rue de la Baratière BP 01- 37360 SONZAY ;Sonzay;02.47.24.52.04;sg.sonzay@orange.fr
3714;37250;MONTBAZON;SORIGNY;DVD;;Alain ESNAULT;02.47.34.27.70;28 rue nationale 37250 SORIGNY;Sorigny;02.47.34.27.79;dgs@mairie-sorigny.com
3705;37251;CHATEAU LA VALLIERE;souvigné;;;Delphine AUNEAU;02.47.24.73.02;rue de la Mairie 37330 SOUVIGNE;Souvigné;02.47.24.52.53;mairie.souvigne@wanadoo.fr
3701;37252;AMBOISE;SOUVIGNY DE TOURAINE;;;Laurent BOREL;02.47.57.27.06;1 rue nationale 37530 SOUVIGNY DE TOURAINE;Souvigny de Touraine;02.47.57.27.06;mairie-de-souvigny37@wanadoo.fr
3703;37253;BLERE;SUBLAINES;;;Christian FOUASSIER;02.47.57.85.11;2 rue du 8 mai 1945 - 37310 SUBLAINES;Sublaines;02.47.23.54.57;mairie.sublaines@wanadoo.fr
3713;37254;LOCHES;TAUXIGNY;DVD;;Jean-Louis ROBIN;02.47.92.18.02;place de la mairie 37310 TAUXIGNY;Tauxigny;02.47.92.1007;mairie.tauxigny@wanadoo.fr
3710;37255;L'ILE BOUCHARD;TAVANT;DVD;;Bernard MARCHE;02.47.58.58.01;37220 TAVANT;Tavant;02.47.58.65.81;communedetavant@wanadoo.fr
3710;37256;L'ILE BOUCHARD;THENEUIL;LR;;Nadège ARNAULT;02.47.58.50.81;11 rue Grande Rue 37220 THENEUIL;Theneuil;02.47.58.50.81;mairiedetheneuil@wanadoo.fr
3702;37257;AZAY LE RIDEAU;THILOUZE;UDI;;Eric LOIZON;02.47.26.87.41;8 place de la mairie 37260 THILOUZE;Thilouze;02.47.26.89.57;thilouze@wanadoo.fr
3707;37258;CHINON;THIZAY;DVG;;Corinne LEROY;02.47.95.90.27;4 rue de la Fontaine 37500 THIZAY;Thizay;02.47.95.85.64;communedethizay@wanadoo.fr
3718;37259;PREUILLY SUR CLAISE;TOURNON SAINT PIERRE;;;Marie-Françoise BRAULT;02.54.37.50.02;37290 TOURNON ST PIERRE;Tournon Saint Pierre;02.54.37.52.22;mairie.tournon-st-pierre@wanadoo.fr
3719;37260;RICHELIEU;LA TOUR SAINT GELIN;DVD;;Martial TESTON;02.47.58.30.35;5 rue de la mairie 37120 LA TOUR ST GELIN;Tour Saint Gelin (La);02.47.58.30.35;mairiedelatoursaintgelin@orange.fr
3721;37261;TOURS;TOURS;LR;;Serge BABARY;02.47.21.60.00;3 rue des Minimes  37926 TOURS  CEDEX 09;Tours;02.47.21.69.36;ville.tours@ville-tours.fr
3710;37262;L'ILE BOUCHARD;TROGUES;DVD;;Chantal BACHELERY;02.47.58.53.68;route du Bourg 37220 TROGUES;Trogues;02.47.58.53.68;mairie-trogues@wanadoo.fr
3734;37263;CHAMBRAY LES TOURS;TRUYES;DVD;;Stéphane de COLBERT;02.47.43.40.81;28 rue du Clocher 37320 TRUYES;Truyes;02.47.43.06.61;mairie.truyes@wanadoo.fr
3702;37264;AZAY LE RIDEAU;vallères;DVG;;Jean-Luc CADIOU;02.47.45.45.44;1 place de la mairie 37190 VALLERES;Vallères;02.47.45.48.47;valleres.mairie@wanadoo.fr
3712;37265;LIGUEIL;VARENNES;;;Michel DUGRAIN;02.47.59.04.32;1 place de la Mairie 37600 VARENNES;Varennes;02.47.59.04.32;mairie.de.varennes-37@wanadoo.fr
3714;37266;MONTBAZON;veigné;UDI;;Patrick MICHAUD;02.47.34.36.36;place du Maréchal Leclerc 37250 VEIGNE;Veigné;02.47.26.94.92;lemaire@veigne.fr
3737;37267;MONTLOUIS SUR LOIRE;véretz;;;Danièle GUILLAUME;02.47.35.70.00;rue Moreau-Vincent 37270 VERETZ;Véretz;02.47.35.70.10;mairie@veretz.com
3713;37269;LOCHES;VERNEUIL SUR INDRE;;;Gérard MARQUENET;02.47.94.71.08;1 place de la mairie 37600 VERNEUIL SUR INDRE;Verneuil sur Indre;02.47.94.78.02;verneuil-sur-indre@orange.fr
3724;37270;VOUVRAY;VERNOU SUR BRENNE;;;Jean HUREL;02.47.52.10.35;37210 VERNOU SUR BRENNE;Vernou sur Brenne;02.47.52.0844;mairiedevernou@wanadoo.fr
3702;37271;AZAY LE RIDEAU;VILLAINES LES ROCHERS;DVG;;Marie-Annette BERGEOT;02.47.45.43.08;place de la Mairie 37190 VILLAINES LES ROCHERS;Villaines les Rochers;02.47.45.48.65;mairie-villaines-37@wanadoo.fr
3731;37272;BALLAN MIRE;VILLANDRY;;;Jean-Marie MÉTAIS;02.47.50.02.08;37510 VILLANDRY;Villandry;02.47.50.00.90;admin.villandry@wanadoo.fr
3737;37273;MONTLOUIS SUR LOIRE;LA VILLE AUX DAMES;;;Alain BÉNARD;02.47.44.36.46;avenue Jeanne d'Arc BP 37 - 37700 LA VILLE AUX DAMES ;Ville aux Dames (La);02.47.32.92.12;accueil@ville-aux-dames.com
3717;37274;NEUVY LE ROI;VILLEBOURG;;;Laurent GAUVRIT;02.47.24.44.25;37370 VILLEBOURG;Villebourg;02.47.24.87.90;mairie.villebourg@orange.fr
3715;37275;MONTRESOR;VILLEDOMAIN;;;Vincent MEUNIER;02.47.92.62.65;le bourg 37460 VILLEDOMAIN;Villedomain;02.47.92.69.95;commune.villedomain.com@orange.fr
3706;37276;CHATEAU RENAULT;villedômer;DVG;;Marie-Claude FOUCHER;02.47.55.00.04;place des Martyrs de la Résistance 37110 VILLEDOMER;Villedômer;02.47.55.06.27;mairie.villedomer@wanadoo.fr
3714;37278;MONTBAZON;VILLEPERDUE;FG;;Roland MARIAU;02.47.26.08.07;10 rue de la Mairie 37260 VILLEPERDUE;Villeperdue;02.47.26.92.94;mairie@villeperdue.fr
3705;37279;CHATEAU LA VALLIERE;VILLIERS AU BOUIN;;;Martine NAVEAU;02.47.24.03.71;rue des Ecoles 37330 VILLIERS AU BOUIN;Villiers au Bouin;02.47.24.29.11;mairie.villiers.au.bouin@wanadoo.fr
3712;37280;LIGUEIL;VOU;;;Jean-Marie VANNIER;02.47.59.63.31;1 place Saint-Pierre Es Liens 37240 VOU;Vou;02.47.59.63.31;mairie.vou@wanadoo.fr
