Nom de la commune;Maire;Politique ;Adresse Mairie;Téléphone;Télécopie;Mail;;;;;;;
Montreuil en Touraine;Jean-Luc PADIOLLEAU;;37530 MONTREUIL EN TOURAINE;02.47.30.15.14;02.47.30.03.12;mairie@montreuil-touraine.fr;;;;;;;
Monts;Valérie GUILLERMIC;DVG;rue Maurice Ravel 37260 MONTS;02.47.34.11.80;02.47.73.05.42;mairie@monts.org;;;;;;;
Morand;Joël DENIAU;DVD;2 rue de la Mairie 37110 MORAND;02.47.29.69.12;02.47.29.61.78;mairiedemorand@wanadoo.fr;;;;;;;
Mosnes;Christophe VILLEMAIN;;9 rue du Général de Gaulle 37530 MOSNES;02.47.57.22.13;02.47.57.61.19;mairie.mosnes@wanadoo.fr;;;;;;;
Mouzay;Marie RONDWASSER;;1 Place de la Mairie 37600 MOUZAY;02.47.59.15.43;02.47.59.15.43;mairie.mouzay@wanadoo.fr;;;;;;;
Nazelles Négron;Richard CHATELLIER;;37530 NAZELLES NEGRON;02.47.23.71.71;02.47.23.25.48;mairie.nazelles-negron@wanadoo.fr;;;;;;;
Neuil;Natalie SENNEGON;DVD;20 rue de l'église 37190 NEUIL;02.47.65.82.66;02.47.73.51.33;mairie-de-neuil@orange.fr;;;;;;;
Neuillé Le Lierre;Damien FORATIER;;2 rue de la République 37380 NEUILLE LE LIERRE;02.47.52.95.17;02.47.52.29.44;mairie.neuillelelierre@wanadoo.fr;;;;;;;
Neuillé Pont Pierre;Michel JOLLIVET;DVD;2 place du 11 novembre 37360 NEUILLE PONT PIERRE;02.47.24.54.84;02.47.24.38.78;secretariat.npp@wanadoo.fr;;;;;;;
Neuilly Le Brignon;Dominique COINTRE;;37160 NEUILLY LE BRIGNON;02.47.59.66.02;02.47.92.33.85;mairie.neuilly.le.brignon@wanadoo.fr;;;;;;;
Neuville sur Brenne;Gino GOMMÉ;;8 rue du 8 mai 1945 - 37110 NEUVILLE SUR BRENNE;02.47.29.52.13;02.47.56.88.19;communedeneuvillesurbrenne@wanadoo.fr ;;;;;;;
Neuvy Le Roi;Patrick CINTRAT;LR;37370 NEUVY LE ROI;02.47.29.71.71;02.47.24.84.91;mairie.neuvy-le-roi@wanadoo.fr;;;;;;;
Noizay;Jean-Pierre VINCENDEAU;;4 place Léon Gambetta 37210 NOIZAY;02.47.52.11.06;02.47.52.08.73;contact@mairiedenoizay.fr;;;;;;;
Notre Dame d'Oé;Jean-Luc GALLIOT;PS;37390 NOTRE DAME D OE;02.47.41.30.08;02.47.49.22.00;mairie@ndoe.fr;;;;;;;
Nouans Les Fontaines;Eric MOREAU;DVG;place du 8 Mai 37460 NOUANS LES FONTAINES;02.47.92.62.09;02.47.92.70.93;mairie.nouans.fontaines@wanadoo.fr;;;;;;;
Nouâtre;Pierre-Marie DANQUIGNY;DVG;place du 8 mai 1945 - 37800 NOUATRE;02.47.65.20.15;02.47.65.28.24;mairie.nouatre@wanadoo.fr;;;;;;;
Nouzilly;Joël BESNARD;;place Emile Cholet 37380 NOUZILLY;02.47.56.12.21;02.47.56.40.47;mairie.nouzilly@wanadoo.fr;;;;;;;
Noyant de Touraine;Yolande BILLON;DVG;1 place de la Mairie 37800 NOYANT DE TOURAINE;02.47.65.82.03;02.47.65.83.13;mairie@noyant-de-touraine.fr;;;;;;;
Orbigny;Jacky CHARBONNIER;DVG;8 rue Jeanne d'Arc 37460 ORBIGNY;02.47.94.23.18;02.47.94.20.55;mairie.orbigny@wanadoo.fr;;;;;;;
Panzoult;Isabelle PAIN;DVD;place de la mairie 37220 PANZOULT;09.65.30.25.44;02.47.58.53.08;mairie.panzoult@wanadoo.fr;;;;;;;
Parçay Meslay;Bruno FENET;;58 rue de la Mairie 37210 PARCAY MESLAY;02.47.29.15.15;02.47.29.01.41;mairie@parcay-meslay.com;;;;;;;
Parçay sur Vienne;Mme Dominique JOUANNEAU;DVG;20 rue du 8 Mai 1945 - 37220 PARCAY SUR VIENNE;02.47.58.54.57;02.47.58.60.96;mairiedeparcaysurvienne@wanadoo.fr;;;;;;;
Paulmy;Dominique FRELON;;1 place de la mairie 37350 PAULMY;02.47.59.66.64;02.47.59.62 40;paulmy.mairie@wanadoo.fr;;;;;;;
Pernay;Jean-Pierre PENINON;;rue de la Mairie 37230 PERNAY;02.47.52.43.83;02.47.52.47.87;mairie.pernay@neuf.fr;;;;;;;
Perrusson;Bernard GAULTIER;DVD;1 place de la Mairie 37600 PERRUSSON;02.47.59.03.92;02.47.91.61.83;perrusson.37@wanadoo.fr;;;;;;;
Petit Pressigny (Le);Daniel DOUADY;;2 chemin des Bordes 37350 LE PETIT PRESSIGNY;02.47.94.93.59;02.47.91.05.94;mairie.le.petit.pressigny@wanadoo.fr;;;;;;;
Pocé sur Cisse;Claude COURGEAU;;37530 POCE SUR CISSE;02.47.57.18.15;02.47.57.02.13;mairiedepoce@wanadoo.fr;;;;;;;
Pont de Ruan;Michelle DUVAULT;DVD;37260 PONT DE RUAN;02.47.26.81.30;02.47.73.21.72;ville.pont.de.ruan@wanadoo.fr;;;;;;;
Ports sur Vienne;Daniel POUJAUD;DVG;place de la mairie 37800 PORTS SUR VIENNE;02.47.65.02.62;02.47.65.09.29;mairie-de-ports-sur-vienne@wanadoo.fr;;;;;;;
Pouzay;Jean SAVOIE;DVD;23 rue des Ecoles 37800 POUZAY;02.47.65.21.93;02.47.65.32.67;pouzay@wanadoo.fr;;;;;;;
Preuilly sur Claise;Gilles BERTUCELLI;DVD;place de l'Hôtel de Ville BP 13 - 37290 PREUILLY SUR CLAISE ;02.47.94.50.04;02.47.94.63.26;mairie-preuilly@wanadoo.fr;;;;;;;
Pussigny;Mme Dominique BRUNET;;5 rue de la mairie 37800 PUSSIGNY;02.47.65.01.02;02.47.65.09.82;mairie.pussigny@wanadoo.fr;;;;;;;
Razines;Daniel DUPUY;;10 place de la mairie 37120 RAZINES;02.47.95.60.60;;mairie-razines@wanadoo.fr;;;;;;;
Reignac sur Indre;Loïc BABARY;DVD;37310 REIGNAC SUR INDRE;02.47.94.10.20;02.47.94.17.94;mairie.reignac37@wanadoo.fr;;;;;;;
Restigné;Christine HASCOET;;place de l'Eglise 37140 RESTIGNE;02.47.97.32.08;02.47.97.47.02;mairie.restigne@cegetel.net;;;;;;;
Reugny;Axelle TREHIN;;10 rue Nationale 37380 REUGNY;02.47.52.94.32;02.47.52.25.94;mairie-reugny@wanadoo.fr;;;;;;;
Riche (La);Wilfried SCHWARTZ;PS;place du Maréchal Leclerc BP 102 -37521 LA RICHE CEDEX;02.47.36.24.24;02.47.38.11.52;la.mairie@ville-lariche.fr;;;;;;;
Richelieu;Hervé NOVELLI;;1 place du Marché 37120 RICHELIEU;02.47.58.10.13;02.47.58.16.42;commune-de-richelieu@wanadoo.fr;;;;;;;
Rigny Ussé;Colette AZE;DVD;51 rue principale 37420 RIGNY USSE;02.47.95.55.85;02.47.95.45.33;rigny-usse-mairie@wanadoo.fr;;;;;;;
Rillé;Christian SIMONOT;;6  Grande Rue 37340 RILLE;02.47.24.64.68;02.47.24.64.68;mairie.rille@orange.fr;;;;;;;
Rilly sur Vienne;Jean-Louis BASSEREAU;;1 place de la mairie 37220 RILLY SUR VIENNE;02.47.58.32.09;02.47.58.70.04;mairierillyvienne@wanadoo.fr;;;;;;;
Rivarennes;Agnès BUREAU;DVG;37190 RIVARENNES;02.47.95.51.43;02.47.95.51.52;mairie.rivarennes@wanadoo.fr;;;;;;;
Rivière;Martine LUNETEAU;DVG;14 rue des lavandières 37500 RIVIERE;02.47.93.07.53;02.47.93.37.04;mairiederiviere@wanadoo.fr;;;;;;;
Roche Clermault (La);Jacky MANCEAU;;13 route du Coteau 37500 LA ROCHE CLERMAULT;02.47.95.90.10;02.47.95.85.59;mairie.larocheclermault@wanadoo.fr;;;;;;;
Rochecorbon;Bernard PLAT;DVD;37210 ROCHECORBON;02.47.52.50.20;02.47.52.81.18;contact@mairie-rochecorbon.fr;;;;;;;
Rouziers de Touraine;John-James DELIGNY;DVG;5 rue du 11 novembre 37360 ROUZIERS DE TOURAINE;02.47.56.60.13;02.47.56.56.40;secretariat.RDT@wanadoo.fr;;;;;;;
Saché;Olivier BOUISSOU;DVD;Place Alexander Calder 37190 SACHE;02.47.26.86.65;02.47.65.76.83;mairie.sache@wanadoo.fr;;;;;;;
Saint Antoine du Rocher;André MEULOT;;4 rue des écoles 37360 ST ANTOINE DU ROCHER;02.47.56.65.04;02.47.56.51.08;secretariat.SAR@wanadoo.fr;;;;;;;
Saint Aubin le Depeint;Benoit DURAND;DVD;21 rue Principale 37370 ST AUBIN LE DEPEINT;02.47.29.25.07;02.47.29.25.07;mairie.staubinledepeint@wanadoo.fr;;;;;;;
Saint Avertin;Jean-Gérard PAUMIER;LR;21 rue de Rochepinard BP 128 - 37550 ST AVERTIN ;02.47.48.48.48;02.47.27.10.33;sonia.maingault@ville-saint-avertin.fr;;;;;;;
Saint Bauld;Jacques DELWARDE;DVD;2 rue Principale 37310 ST BAULD;02.47.92.87.00;02.47.92.87.00;mairiestbauld@wanadoo.fr;;;;;;;
Saint Benoît La Forêt;Didier GUILBAULT;DVG;Le Bourg 37500 ST BENOIT LA FORET;02.47.58.00.11;02.47.58.07.82;commune.stbenoitlaforet@orange.fr;;;;;;;
Saint Branchs;Daniel BALANGER;DVG;place du 11 novembre BP 08 - 37320 ST BRANCHS ;02.47.26.30.15;02.47.26.33.53;mairie.saintbranchs@wanadoo.fr;;;;;;;
Saint Christophe sur le Nais;Catherine LEMAIRE;DVD;32 rue du Val Joyeux 37370 ST CHRISTOPHE SUR LE NAIS;02.47.29.24.19;02.47.29.35.76;mairie.stchristophe@wanadoo.fr;;;;;;;
Saint Cyr sur Loire;Philippe BRIAND;LR;parc de la Perraudière BP 139 -  37541 ST CYR SUR LOIRE  CX;02.47.42.80.00;02.47.42.80.94;info@saint-cyr-sur-loire.com;;;;;;;
Saint Epain;Serge LECOMTE;DVD;27 rue Principale 37800 ST EPAIN;02.47.65.80.21;02.47.65.80.42;mairie.saint-epain@wanadoo.fr;;;;;;;
Saint Etienne de Chigny;Patrick CHALON;;2 route de la Chappe 37230 ST ETIENNE DE CHIGNY;02.47.55.52.15;02.47.55.59.19;dgs.mairiesedc@orange.fr;;;;;;;
Saint Flovier;Francis BAISSON;;2 place du 8 mai 37600 ST FLOVIER;02.47.94.72.24;02.47.94.86.00;mairie.st.flovier@wanadoo.fr;;;;;;;
Saint Genouph;Christian AVENET;;23 rue du bourg 37510 ST GENOUPH;02.47.45.51.14;02.47.45.52.76;mairie-st-genouph@orange.fr;;;;;;;
Saint Germain sur Vienne;Jean ALBERT;DVG;33 route de la Chaussée 37500 ST GERMAIN SUR VIENNE;02.47.95.96.46;02.47.95.87.29;stgermain.mairie@wanadoo.fr;;;;;;;
Saint Hippolyte;Patrick PASQUIER;DVD;37600 ST HIPPOLYTE;02.47.94.71.40;02.47.94.82.47;mairiede-sthippolyte@wanadoo.fr;;;;;;;
Saint Jean Saint Germain;Pierre BRODNY;DVD;37600 ST JEAN ST GERMAIN;02.47.94.70.05;02.47.94.70.05;mairie.stjeanstgermain@wanadoo.fr;;;;;;;
Saint Laurent de Lin;Jean-Paul SORIN;;rue de la Perrée 37330 ST LAURENT DE LIN;02.47.24.05.07;02.47.24.26.77;mairie.saintlaurentdelin@wanadoo.fr;;;;;;;
Saint Laurent en Gatines;Isabelle SENECHAL;DVD;avenue du 11 Novembre 37380 ST LAURENT EN GATINES;02.47.29.68.12;02.47.29.83.95;mairie.st.laurent.en.gatines@wanadoo.fr;;;;;;;
Saint Martin Le Beau;Angélique DELAHAYE;DVD;place Marcel Habert 37270 ST MARTIN LE BEAU;02.47.50.67.26;02.47.50.27.69;sanctus.martinus@wanadoo.fr;;;;;;;
Saint Michel sur Loire;Dominique LOGEAY;;37130 ST MICHEL SUR LOIRE;02.47.96.83.06;02.47.96.46.78;mairiesaintmichelsurloire@wanadoo.fr;;;;;;;
Saint Nicolas de Bourgueil;Christel COUSSEAU;; 37140 ST NICOLAS DE BOURGUEIL;02.47.97.75.16;02.47.97.36.87;mairiedesaintnicolasdebourgueil@wanadoo.fr;;;;;;;
Saint Nicolas des Motets;Daniel CHOISIS;DVD;8 rue de Touraine 37110 ST NICOLAS DES MOTETS;02.47.29.65.20;02.47.56.98.77;mairie-saintnicolasdesmotets@wanadoo.fr;;;;;;;
Saint Ouen les Vignes;Marie-Joëlle ADRAST;;4 place de l'église 37530 ST OUEN LES VIGNES;02.47.30.18.87;02.47.30.02.37;mairie-st-ouen-les-vignes@wanadoo.fr;;;;;;;
Saint Paterne Racan;Jean-Pierre POUPEE;DVD;37370 ST PATERNE RACAN;02.47.29.20.03;02.47.29.30.64;mairie.spr@orange.fr;;;;;;;
Saint Patrice;François AUGÉ;;37130 ST PATRICE;02.47.96.98.15;02.47.96.93.26;mairie.stpatrice@wanadoo.fr;;;;;;;
Saint Pierre des Corps;Marie-France BEAUFILS;FG;34 Avenue de la République 37703 ST PIERRE DES CORPS;02.47.63.43.43;02.47.63.43.00;mairie-spdc@wanadoo.fr;;;;;;;
Saint Quentin sur Indrois;Cécile DERUYVER-AVERLAND;DVD;Le Bourg 37310 ST QUENTIN SUR INDROIS;02.47.92.51.86;02.47.92.51.86;mairie.stquentinsurindrois@wanadoo.fr;;;;;;;
Saint Règle;Christine FAUQUET;DVD;2 place Saint-Louis 37530 ST REGLE;02.47.57.41.21;02.47.57.41.21;mairie.saintregle@wanadoo.fr;;;;;;;
Saint Roch;Alain ANCEAU;;1 rue Principale 37390 ST ROCH;02.47.56.74.67;02.47.56.76.50;mairie.saintroch37@orange.fr;;;;;;;
Saint Senoch;Patrick LESPAGNOL;DVD;4 place de la mairie 37600 ST SENOCH;02.47.59.11.17;02.47.92.38.87;mairiedesaintsenoch@rlan.eu;;;;;;;
Sainte Catherine de Fierbois;Vincent POPELIER;DVG;54 rue Boucicault 37800 STE CATHERINE DE FIERBOIS;02.47.65.43.46;02.47.65.69.08;saintecatherinedefierbois.secretariat@wanadoo.fr;;;;;;;
Sainte Maure de Touraine;Michel CHAMPIGNY;DVD;place Maréchal Leclerc 37800 STE MAURE DE TOURAINE;02.47.65.40.12;02.47.65.65.76;mairie@sainte-maure-de-touraine.fr;;;;;;;
Saunay;Pierre DATTÉE;DVD;37110 SAUNAY;02.47.29.53.21;02.47.56.96.99;mairie.saunay@wanadoo.fr;;;;;;;
Savigné sur Lathan;Solange CRESSON;;place Jacques du Bellay 37340 SAVIGNE SUR LATHAN;02.47.24.22.33;02.47.24.29.02;mairie-de-savigne@wanadoo.fr;;;;;;;
Savigny en Véron;Laurent CHAUVELIN;;37420 SAVIGNY EN VERON;02.47.58.81.12;02.47.58.83.97;mairie.savigny-en-veron@wanadoo.fr;;;;;;;
Savonnières;Bernard LORIDO;;rue Principale BP 11 - 37510 SAVONNIERES ;02.47.43.53.63;02.47.43.53.64;mairie@savonnieres.fr;;;;;;;
Sazilly;Max DELALEU;DVG;16 route de Chinon 37220 SAZILLY;02.47.58.55.52;02.47.58.68.17;mairie.sazilly@orange.fr;;;;;;;
Semblançay;Antoine TRYSTRAM;DVD;7 place Jacques De Beaune 37360 SEMBLANCAY;02.47.29.86.86;02.47.56.55.76;secretariat.sblc@wanadoo.fr;;;;;;;
Sennevières;Caroline KRIER;DVD;37600 SENNEVIERES;02.47.94.70.88;02.47.94.71.15;sennevieres@orange.fr;;;;;;;
Sepmes;Régine REZEAU;;Place de l'Eglise 37800 SEPMES;02.47.65.44.66;02.47.65.59.14;mairie.sepmes@wanadoo.fr;;;;;;;
Seuilly;Jacques AUPIC;DVG;37500 SEUILLY;02.47.95.90.35;02.47.95.85.55;mairie.seuilly@orange.fr;;;;;;;
Sonzay;Jean-Pierre VERNEAU;;2 rue de la Baratière BP 01- 37360 SONZAY ;02.47.24.70.19;02.47.24.52.04;sg.sonzay@orange.fr;;;;;;;
Sorigny;Alain ESNAULT;DVD;28 rue nationale 37250 SORIGNY;02.47.34.27.70;02.47.34.27.79;dgs@mairie-sorigny.com;;;;;;;
Souvigné;Delphine AUNEAU;;rue de la Mairie 37330 SOUVIGNE;02.47.24.73.02;02.47.24.52.53;mairie.souvigne@wanadoo.fr;;;;;;;
Souvigny de Touraine;Laurent BOREL;;1 rue nationale 37530 SOUVIGNY DE TOURAINE;02.47.57.27.06;02.47.57.27.06;mairie-de-souvigny37@wanadoo.fr;;;;;;;
Sublaines;Christian FOUASSIER;;2 rue du 8 mai 1945 - 37310 SUBLAINES;02.47.57.85.11;02.47.23.54.57;mairie.sublaines@wanadoo.fr;;;;;;;
Tauxigny;Jean-Louis ROBIN;DVD;place de la mairie 37310 TAUXIGNY;02.47.92.18.02;02.47.92.1007;mairie.tauxigny@wanadoo.fr;;;;;;;
Tavant;Bernard MARCHE;DVD;37220 TAVANT;02.47.58.58.01;02.47.58.65.81;communedetavant@wanadoo.fr;;;;;;;
Theneuil;Nadège ARNAULT;LR;11 rue Grande Rue 37220 THENEUIL;02.47.58.50.81;02.47.58.50.81;mairiedetheneuil@wanadoo.fr;;;;;;;
Thilouze;Eric LOIZON;UDI;8 place de la mairie 37260 THILOUZE;02.47.26.87.41;02.47.26.89.57;thilouze@wanadoo.fr;;;;;;;
Thizay;Corinne LEROY;DVG;4 rue de la Fontaine 37500 THIZAY;02.47.95.90.27;02.47.95.85.64;communedethizay@wanadoo.fr;;;;;;;
Tour Saint Gelin (La);Martial TESTON;DVD;5 rue de la mairie 37120 LA TOUR ST GELIN;02.47.58.30.35;02.47.58.30.35;mairiedelatoursaintgelin@orange.fr;;;;;;;
Tournon Saint Pierre;Marie-Françoise BRAULT;;37290 TOURNON ST PIERRE;02.54.37.50.02;02.54.37.52.22;mairie.tournon-st-pierre@wanadoo.fr;;;;;;;
Tours;Serge BABARY;LR;3 rue des Minimes  37926 TOURS  CEDEX 09;02.47.21.60.00;02.47.21.69.36;ville.tours@ville-tours.fr;;;;;;;
Trogues;Chantal BACHELERY;DVD;route du Bourg 37220 TROGUES;02.47.58.53.68;02.47.58.53.68;mairie-trogues@wanadoo.fr;;;;;;;
Truyes;Stéphane de COLBERT;DVD;28 rue du Clocher 37320 TRUYES;02.47.43.40.81;02.47.43.06.61;mairie.truyes@wanadoo.fr;;;;;;;
Vallères;Jean-Luc CADIOU;DVG;1 place de la mairie 37190 VALLERES;02.47.45.45.44;02.47.45.48.47;valleres.mairie@wanadoo.fr;;;;;;;
Varennes;Michel DUGRAIN;;1 place de la Mairie 37600 VARENNES;02.47.59.04.32;02.47.59.04.32;mairie.de.varennes-37@wanadoo.fr;;;;;;;
Veigné;Patrick MICHAUD;UDI;place du Maréchal Leclerc 37250 VEIGNE;02.47.34.36.36;02.47.26.94.92;lemaire@veigne.fr;;;;;;;
Véretz;Danièle GUILLAUME;;rue Moreau-Vincent 37270 VERETZ;02.47.35.70.00;02.47.35.70.10;mairie@veretz.com;;;;;;;
Verneuil le Château;Eric BIGOT;;1 rue de Richelieu 37120 VERNEUIL LE CHATEAU;02.47.58.30.27;02.47.58.30.27;verneuil.mairie@wanadoo.fr;;;;;;;
Verneuil sur Indre;Gérard MARQUENET;;1 place de la mairie 37600 VERNEUIL SUR INDRE;02.47.94.71.08;02.47.94.78.02;verneuil-sur-indre@orange.fr;;;;;;;
Vernou sur Brenne;Jean HUREL;;37210 VERNOU SUR BRENNE;02.47.52.10.35;02.47.52.0844;mairiedevernou@wanadoo.fr;;;;;;;
Villaines les Rochers;Marie-Annette BERGEOT;DVG;place de la Mairie 37190 VILLAINES LES ROCHERS;02.47.45.43.08;02.47.45.48.65;mairie-villaines-37@wanadoo.fr;;;;;;;
Villandry;Jean-Marie MÉTAIS;;37510 VILLANDRY;02.47.50.02.08;02.47.50.00.90;admin.villandry@wanadoo.fr;;;;;;;
Ville aux Dames (La);Alain BÉNARD;;avenue Jeanne d'Arc BP 37 - 37700 LA VILLE AUX DAMES ;02.47.44.36.46;02.47.32.92.12;accueil@ville-aux-dames.com;;;;;;;
Villebourg;Laurent GAUVRIT;;37370 VILLEBOURG;02.47.24.44.25;02.47.24.87.90;mairie.villebourg@orange.fr;;;;;;;
Villedomain;Vincent MEUNIER;;le bourg 37460 VILLEDOMAIN;02.47.92.62.65;02.47.92.69.95;commune.villedomain.com@orange.fr;;;;;;;
Villedômer;Marie-Claude FOUCHER;DVG;place des Martyrs de la Résistance 37110 VILLEDOMER;02.47.55.00.04;02.47.55.06.27;mairie.villedomer@wanadoo.fr;;;;;;;
Villeloin Coulangé;Maryse GARNIER;;37460 VILLELOIN COULANGE;02.47.92.61.19;02.47.92.76.77;mairie.villeloin@wanadoo.fr;;;;;;;
Villeperdue;Roland MARIAU;FG;10 rue de la Mairie 37260 VILLEPERDUE;02.47.26.08.07;02.47.26.92.94;mairie@villeperdue.fr;;;;;;;
Villiers au Bouin;Martine NAVEAU;;rue des Ecoles 37330 VILLIERS AU BOUIN;02.47.24.03.71;02.47.24.29.11;mairie.villiers.au.bouin@wanadoo.fr;;;;;;;
Vou;Jean-Marie VANNIER;;1 place Saint-Pierre Es Liens 37240 VOU;02.47.59.63.31;02.47.59.63.31;mairie.vou@wanadoo.fr;;;;;;;
Vouvray;Brigitte PINEAU;;rue Gambetta BP 9 - 37210 VOUVRAY ;02.47.52.70.48;02.47.52.67.76;mairie@vouvray.fr;;;;;;;
Yzeures sur Creuse;Jacky PERIVIER;;place Mado Robin 37290 YZEURES SUR CREUSE;02.47.94.55.01;02.47.93.43.32;mairie.yzeuressurcreuse@wanadoo.fr;;;;;;;
;;;;;;;;;;;;;
